"ISBN";"Book-Title";"Book-Author";"Year-Of-Publication";"Publisher";"Image-URL-S";"Image-URL-M";"Image-URL-L"
"0571069614";"White Goddess";"Robert Graves";"0";"Farrar Straus Cudahy Ny";"http://images.amazon.com/images/P/0571069614.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0571069614.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0571069614.01.LZZZZZZZ.jpg"
"0385336667";"Persuader: A Jack Reacher Novel";"LEE CHILD";"2003";"Delacorte Press";"http://images.amazon.com/images/P/0385336667.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0385336667.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0385336667.01.LZZZZZZZ.jpg"
"0515135283";"Without Fail";"Lee Child";"2003";"Jove Books";"http://images.amazon.com/images/P/0515135283.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0515135283.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0515135283.01.LZZZZZZZ.jpg"
"0515133310";"Echo Burning (Jack Reacher Novels (Paperback))";"Lee Child";"2002";"Jove Books";"http://images.amazon.com/images/P/0515133310.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0515133310.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0515133310.01.LZZZZZZZ.jpg"
"0515128635";"Tripwire";"Lee Child";"2000";"Jove Books";"http://images.amazon.com/images/P/0515128635.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0515128635.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0515128635.01.LZZZZZZZ.jpg"
"0965605914";"I Know This Much Is True";"Wally Lamb";"0";"Reganbooks";"http://images.amazon.com/images/P/0965605914.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0965605914.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0965605914.01.LZZZZZZZ.jpg"
"0140103902";"The Easy Way to Stop Smoking (Penguin Health Care &amp; Fitness)";"Allen Carr";"1988";"Penguin Books Ltd";"http://images.amazon.com/images/P/0140103902.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0140103902.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0140103902.01.LZZZZZZZ.jpg"
"1555611745";"Soy! Soy! Soy!: Enjoy Soyfoods' Benefits in Delicious Recipes (Simply Healthy)";"Jeanette Parsons Egan";"2000";"Perseus Publishing";"http://images.amazon.com/images/P/1555611745.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1555611745.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1555611745.01.LZZZZZZZ.jpg"
"0689822510";"On The Edge : Stories At The Brink";"Lois Duncan";"2000";"Simon &amp; Schuster Children's Publishing";"http://images.amazon.com/images/P/0689822510.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0689822510.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0689822510.01.LZZZZZZZ.jpg"
"0006513549";"The Money Makers";"Harry Bingham";"2000";"Harpercollins Pub Ltd";"http://images.amazon.com/images/P/0006513549.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0006513549.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0006513549.01.LZZZZZZZ.jpg"
"0446356034";"The Corsican Woman";"Madge Swindells";"1989";"Warner Books";"http://images.amazon.com/images/P/0446356034.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0446356034.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0446356034.01.LZZZZZZZ.jpg"
"038078453X";"And After That, the Dark";"Charlotte Hughes";"1997";"Avon";"http://images.amazon.com/images/P/038078453X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/038078453X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/038078453X.01.LZZZZZZZ.jpg"
"0316546747";"Last ditch";"Ngaio Marsh";"1977";"Little, Brown";"http://images.amazon.com/images/P/0316546747.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0316546747.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0316546747.01.LZZZZZZZ.jpg"
"0140235574";"Paid and Loving Eyes (Lovejoy Mystery)";"Jonathan Gash";"1994";"Penguin Books";"http://images.amazon.com/images/P/0140235574.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0140235574.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0140235574.01.LZZZZZZZ.jpg"
"0312901038";"Death in Berlin";"Mary Margaret Kaye";"1986";"St Martins Pr";"http://images.amazon.com/images/P/0312901038.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0312901038.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0312901038.01.LZZZZZZZ.jpg"
"0671542192";"TOTAL TSTLSS TRVIA";"Catherine Whitney";"1984";"Pocket";"http://images.amazon.com/images/P/0671542192.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0671542192.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0671542192.01.LZZZZZZZ.jpg"
"0553255983";"The Alchemist";"Ken Goddard";"1986";"Bantam Books";"http://images.amazon.com/images/P/0553255983.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0553255983.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0553255983.01.LZZZZZZZ.jpg"
"082171788X";"The Doll";"Josh Webster";"1986";"Kensington Pub Corp (Mm)";"http://images.amazon.com/images/P/082171788X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/082171788X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/082171788X.01.LZZZZZZZ.jpg"
"0449200647";"Not a Penny More Not a Penny Less";"Jeffrey Archer";"1982";"Fawcett Books";"http://images.amazon.com/images/P/0449200647.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0449200647.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0449200647.01.LZZZZZZZ.jpg"
"0446329088";"Fatal Beauty";"John Godey";"1985";"Warner Books";"http://images.amazon.com/images/P/0446329088.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0446329088.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0446329088.01.LZZZZZZZ.jpg"
"0061008117";"Act of Will";"Barbara Taylor Bradford";"1994";"HarperTorch";"http://images.amazon.com/images/P/0061008117.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0061008117.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0061008117.01.LZZZZZZZ.jpg"
"0345344596";"Regrets Only";"Sally Quinn";"1987";"Ballantine Books";"http://images.amazon.com/images/P/0345344596.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0345344596.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0345344596.01.LZZZZZZZ.jpg"
"0449223442";"Daughter of the Stars";"PHYLLIS A. WHITNEY";"1995";"Ivy Books";"http://images.amazon.com/images/P/0449223442.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0449223442.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0449223442.01.LZZZZZZZ.jpg"
"044921897X";"Singing Stones";"PHYLLIS A. WHITNEY";"1991";"Ivy Books";"http://images.amazon.com/images/P/044921897X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/044921897X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/044921897X.01.LZZZZZZZ.jpg"
"1890768243";"Shiveree (Eclaire Mysteries (Paperback))";"Sophie Dunbar";"2000";"Intrigue Press";"http://images.amazon.com/images/P/1890768243.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1890768243.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1890768243.01.LZZZZZZZ.jpg"
"0609600672";"Dave Barry Is Not Taking This Sitting Down";"Dave Barry";"2000";"Crown Publishing Group (NY)";"http://images.amazon.com/images/P/0609600672.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0609600672.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0609600672.01.LZZZZZZZ.jpg"
"0553572563";"Death Dream";"Ben Bova";"1995";"Bantam";"http://images.amazon.com/images/P/0553572563.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0553572563.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0553572563.01.LZZZZZZZ.jpg"
"0380771411";"A Night in the Lonesome October";"Roger Zelazny";"1994";"Harper Mass Market Paperbacks (Mm)";"http://images.amazon.com/images/P/0380771411.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0380771411.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0380771411.01.LZZZZZZZ.jpg"
"0451157281";"Godplayer";"Robin Cook";"1994";"Signet Book";"http://images.amazon.com/images/P/0451157281.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0451157281.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0451157281.01.LZZZZZZZ.jpg"
"0804110557";"Vow of Chastity (Sister Joan Mystery)";"Veronica Black";"1993";"Fawcett Books";"http://images.amazon.com/images/P/0804110557.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0804110557.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0804110557.01.LZZZZZZZ.jpg"
"0451401964";"The Death Shift: The True Story of Nurse Genene Jones and the Texas Baby Murders";"Peter Elkind";"1990";"Onyx Books";"http://images.amazon.com/images/P/0451401964.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0451401964.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0451401964.01.LZZZZZZZ.jpg"
