"ISBN";"Book-Title";"Book-Author";"Year-Of-Publication";"Publisher";"Image-URL-S";"Image-URL-M";"Image-URL-L"
"0737306173";"25 Stupid Mistakes You Don't Want to Make in the Stock Market";"David E. Rye";"2001";"McGraw-Hill Trade";"http://images.amazon.com/images/P/0737306173.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0737306173.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0737306173.01.LZZZZZZZ.jpg"
"0967205905";"Effort-Less Marketing for Financial Advisors";"Steve Moeller";"1999";"American Business Visions";"http://images.amazon.com/images/P/0967205905.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0967205905.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0967205905.01.LZZZZZZZ.jpg"
"1931866007";"Conversations with Millionaires: What Millionaires Do to Get Rich, That You Never Learned About in School!";"Mike Litman";"2001";"Conversations with Millionaires LLC";"http://images.amazon.com/images/P/1931866007.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1931866007.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1931866007.01.LZZZZZZZ.jpg"
"0070610487";"Networking with the Affluent";"Thomas J. Stanley";"1997";"McGraw-Hill Trade";"http://images.amazon.com/images/P/0070610487.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0070610487.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0070610487.01.LZZZZZZZ.jpg"
"0070610479";"Marketing to the Affluent";"Thomas J. Stanley";"1997";"McGraw-Hill Trade";"http://images.amazon.com/images/P/0070610479.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0070610479.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0070610479.01.LZZZZZZZ.jpg"
"1567615295";"The Complete Idiot's Guide to Starting Your Own Business (Serial)";"Marcia Layton";"1995";"Alpha Books";"http://images.amazon.com/images/P/1567615295.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1567615295.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1567615295.01.LZZZZZZZ.jpg"
"0471467634";"Mentored by a Millionaire : Master Strategies of Super Achievers";"Steven K.  Scott";"2004";"John Wiley &amp; Sons";"http://images.amazon.com/images/P/0471467634.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0471467634.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0471467634.01.LZZZZZZZ.jpg"
"0312872437";"The Marriage of Sticks (Tom Doherty Associates Book)";"Jonathan Carroll";"2000";"Tor Books";"http://images.amazon.com/images/P/0312872437.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0312872437.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0312872437.01.LZZZZZZZ.jpg"
"044661095X";"Killing Time";"Caleb Carr";"2002";"Warner Books";"http://images.amazon.com/images/P/044661095X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/044661095X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/044661095X.01.LZZZZZZZ.jpg"
"061333633X";"Timeline";"Michael Crichton";"2001";"Sagebrush Bound";"http://images.amazon.com/images/P/061333633X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/061333633X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/061333633X.01.LZZZZZZZ.jpg"
"0061008923";"The Lost Testament";"Alan Gold";"1996";"Harper Mass Market Paperbacks (Mm)";"http://images.amazon.com/images/P/0061008923.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0061008923.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0061008923.01.LZZZZZZZ.jpg"
"0440078121";"So Many Partings";"Cathy Cash Spellman";"1983";"Delacorte Press";"http://images.amazon.com/images/P/0440078121.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0440078121.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0440078121.01.LZZZZZZZ.jpg"
