"ISBN";"Book-Title";"Book-Author";"Year-Of-Publication";"Publisher";"Image-URL-S";"Image-URL-M";"Image-URL-L"
"3442730988";"Tod in der Datscha.";"Anna Malyschewa";"2003";"btb";"http://images.amazon.com/images/P/3442730988.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/3442730988.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/3442730988.01.LZZZZZZZ.jpg"
"3404144783";"Dunkel.";"Wolfgang Hohlbein";"2001";"L�?¼bbe";"http://images.amazon.com/images/P/3404144783.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/3404144783.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/3404144783.01.LZZZZZZZ.jpg"
"0880707550";"Whispers (Glenbrooke)";"Robin Jones Gunn";"1995";"Palisades";"http://images.amazon.com/images/P/0880707550.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0880707550.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0880707550.01.LZZZZZZZ.jpg"
"068145413X";"Cherished Moments";"Anita Mills";"1994";"Longmeadow Press";"http://images.amazon.com/images/P/068145413X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/068145413X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/068145413X.01.LZZZZZZZ.jpg"
"1569472793";"Murder in Belleville";"Cara Black";"2002";"Soho Press";"http://images.amazon.com/images/P/1569472793.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1569472793.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1569472793.01.LZZZZZZZ.jpg"
"0297829084";"Child Star";"Matt Thorne";"2003";"George Weidenfeld &amp; Nicholson, Ltd.";"http://images.amazon.com/images/P/0297829084.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0297829084.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0297829084.01.LZZZZZZZ.jpg"
"1853406201";"Semi-perfect";"James Pope";"2001";"Piccadilly Press";"http://images.amazon.com/images/P/1853406201.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1853406201.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1853406201.01.LZZZZZZZ.jpg"
"0006551076";"Ocean In Iowa";"Peter Hedges";"0";"Flamingo";"http://images.amazon.com/images/P/0006551076.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0006551076.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0006551076.01.LZZZZZZZ.jpg"
"1903650151";"Spilt Milk";"Lana Citron";"2002";"Simon &amp; Schuster (Trade Division)";"http://images.amazon.com/images/P/1903650151.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1903650151.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1903650151.01.LZZZZZZZ.jpg"
"1852278951";"\"Treasure Island\": According to Spike Milligan";"Spike Milligan";"2000";"Virgin Books";"http://images.amazon.com/images/P/1852278951.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1852278951.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1852278951.01.LZZZZZZZ.jpg"
"1841153656";"The Perfect Fool";"Stewart Lee";"2001";"HarperCollins Publishers";"http://images.amazon.com/images/P/1841153656.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1841153656.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1841153656.01.LZZZZZZZ.jpg"
"0140178198";"The Portable Jack Kerouac (The Viking Portable Library)";"Jack Kerouac";"1996";"Penguin Books";"http://images.amazon.com/images/P/0140178198.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0140178198.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0140178198.01.LZZZZZZZ.jpg"
"1877003034";"Where in the World";"Simon French";"2002";"Little Hare";"http://images.amazon.com/images/P/1877003034.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1877003034.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1877003034.01.LZZZZZZZ.jpg"
"3404144317";"Wie ein Lamm unter L�?¶wen.";"Tilman R�?¶hrig";"2000";"L�?¼bbe";"http://images.amazon.com/images/P/3404144317.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/3404144317.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/3404144317.01.LZZZZZZZ.jpg"
"3453171861";"Operation Rainbow.";"Tom Clancy";"2000";"Heyne";"http://images.amazon.com/images/P/3453171861.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/3453171861.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/3453171861.01.LZZZZZZZ.jpg"
"3852183219";"Blumen für Polt: Kriminalroman";"Alfred Komarek";"2000";"Haymon";"http://images.amazon.com/images/P/3852183219.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/3852183219.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/3852183219.01.LZZZZZZZ.jpg"
"3852182751";"Polt muss Weinen: Kriminalroman";"Alfred Komarek";"1998";"Haymon";"http://images.amazon.com/images/P/3852182751.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/3852182751.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/3852182751.01.LZZZZZZZ.jpg"
"2070408221";"Ceux de la soif";"Georges Simenon";"1999";"Gallimard";"http://images.amazon.com/images/P/2070408221.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/2070408221.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/2070408221.01.LZZZZZZZ.jpg"
"0792706250";"The Corridors of Fear (Curley Large Print)";"Clarissa Ross";"1990";"Chivers North Amer";"http://images.amazon.com/images/P/0792706250.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0792706250.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0792706250.01.LZZZZZZZ.jpg"
"0340568879";"Anne of Green Gables";"L.M. Montgomery";"1993";"Hodder Children's Books";"http://images.amazon.com/images/P/0340568879.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0340568879.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0340568879.01.LZZZZZZZ.jpg"
"059040654X";"Mostly Magic";"Ruth Chew";"1982";"Scholastic Paperbacks (Mm)";"http://images.amazon.com/images/P/059040654X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/059040654X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/059040654X.01.LZZZZZZZ.jpg"
"0439557089";"Mystery of the Lost Valentine (Barbie Mystery)";"Linda Williams Aber";"2003";"Scholastic Paperbacks";"http://images.amazon.com/images/P/0439557089.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0439557089.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0439557089.01.LZZZZZZZ.jpg"
"0749707933";"Astercote";"Penelope Lively";"1996";"Egmont Childrens Books";"http://images.amazon.com/images/P/0749707933.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0749707933.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0749707933.01.LZZZZZZZ.jpg"
"0517189674";"Heidi (Children's Classics)";"JOHANNA SPYRI";"1998";"Children's Classics";"http://images.amazon.com/images/P/0517189674.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0517189674.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0517189674.01.LZZZZZZZ.jpg"
"0810943980";"Babar and the Ghost";"Laurent De Brunhoff";"2001";"Harry N Abrams";"http://images.amazon.com/images/P/0810943980.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0810943980.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0810943980.01.LZZZZZZZ.jpg"
"0590248588";"Money: Make It, Spend It, Save It";"J. E. Bogart";"2001";"Scholastic";"http://images.amazon.com/images/P/0590248588.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0590248588.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0590248588.01.LZZZZZZZ.jpg"
"0870449559";"Pop-Up: Animal Acrobats";"Toni Eugene";"1991";"National Geographic";"http://images.amazon.com/images/P/0870449559.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0870449559.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0870449559.01.LZZZZZZZ.jpg"
"043910842X";"Secret Codes for Kids (Mensa)";"Robert Allen";"2000";"Scholastic";"http://images.amazon.com/images/P/043910842X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/043910842X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/043910842X.01.LZZZZZZZ.jpg"
"0749712295";"The Nine Lives of Montezuma";"Michael Morpurgo";"1993";"Egmont Childrens Books";"http://images.amazon.com/images/P/0749712295.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0749712295.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0749712295.01.LZZZZZZZ.jpg"
"0749726881";"The Witch Repair";"Marianne MacDonald";"1996";"Egmont Childrens Books";"http://images.amazon.com/images/P/0749726881.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0749726881.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0749726881.01.LZZZZZZZ.jpg"
"0140309586";"Pippi in the South Seas";"Astrid Ericsson Lindgren";"1988";"Puffin Books";"http://images.amazon.com/images/P/0140309586.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0140309586.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0140309586.01.LZZZZZZZ.jpg"
"0140319972";"Lost and Found";"Jean Little";"1988";"Penguin USA";"http://images.amazon.com/images/P/0140319972.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0140319972.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0140319972.01.LZZZZZZZ.jpg"
"156565269X";"Super Math Tricks";"Zondra Lewis Knapp";"1995";"Lowell House";"http://images.amazon.com/images/P/156565269X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/156565269X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/156565269X.01.LZZZZZZZ.jpg"
"0394839102";"The Berenstain Bears and the Spooky Old Tree (Bright and Early Book ; Be23)";"Stan Berenstain";"1989";"Random House Children's Books";"http://images.amazon.com/images/P/0394839102.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0394839102.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0394839102.01.LZZZZZZZ.jpg"
"0860201244";"The Know How Book of Detection";"Judy Hindley";"1981";"E D C Pub";"http://images.amazon.com/images/P/0860201244.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0860201244.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0860201244.01.LZZZZZZZ.jpg"
"0395713250";"Train to Somewhere";"Eve Bunting";"1996";"Clarion Books";"http://images.amazon.com/images/P/0395713250.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0395713250.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0395713250.01.LZZZZZZZ.jpg"
"0894806149";"The Bird Book and the Bird Feeder (Hand in Hand with Nature)";"Neil Dawe";"1988";"Workman Publishing";"http://images.amazon.com/images/P/0894806149.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0894806149.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0894806149.01.LZZZZZZZ.jpg"
"0140554556";"Big Cat Dreaming";"Margaret Wild";"0";"Penguin Books Australia Ltd";"http://images.amazon.com/images/P/0140554556.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0140554556.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0140554556.01.LZZZZZZZ.jpg"
"1563053179";"Kids' Best Dog Book/Kids' Best Field Guide to Neighborhood Dogs/2 Books and Dog Safety Reflector";"Michael J. Rosen";"1993";"Workman Publishing";"http://images.amazon.com/images/P/1563053179.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1563053179.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1563053179.01.LZZZZZZZ.jpg"
"039480967X";"Bears on Wheels (Bright &amp; Early Books)";"STAN BERENSTAIN";"1969";"Random House Books for Young Readers";"http://images.amazon.com/images/P/039480967X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/039480967X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/039480967X.01.LZZZZZZZ.jpg"
"0394800389";"Fox in Socks (I Can Read It All by Myself Beginner Books)";"Dr. Seuss";"1965";"Random House Children's Books";"http://images.amazon.com/images/P/0394800389.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0394800389.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0394800389.01.LZZZZZZZ.jpg"
"0802769756";"A First Look at Ducks, Geese, and Swans (A First look at series)";"Millicent E. Selsam";"1990";"Walker &amp; Co";"http://images.amazon.com/images/P/0802769756.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0802769756.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0802769756.01.LZZZZZZZ.jpg"
"0679823859";"The Nutcracker Ballet (Step-Into-Reading, Step 3)";"Deborah Hautzig";"0";"Random House Books for Young Readers";"http://images.amazon.com/images/P/0679823859.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0679823859.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0679823859.01.LZZZZZZZ.jpg"
"0064430227";"Harold and the Purple Crayon 50th Anniversary Edition (Purple Crayon Books)";"Crockett Johnson";"1981";"HarperTrophy";"http://images.amazon.com/images/P/0064430227.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0064430227.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0064430227.01.LZZZZZZZ.jpg"
"0030423910";"Circus ABC";"Paulita Sedgwick";"1978";"Holt, Rinehart and Winston";"http://images.amazon.com/images/P/0030423910.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0030423910.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0030423910.01.LZZZZZZZ.jpg"
"0140502076";"Madeline's Rescue: Story and Pictures (Picture Puffin)";"Ludwig Bemelmans";"1977";"Puffin Books";"http://images.amazon.com/images/P/0140502076.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0140502076.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0140502076.01.LZZZZZZZ.jpg"
"0843110406";"Prince What-A-Mess";"Frank Muir";"1984";"Putnam Publishing Group";"http://images.amazon.com/images/P/0843110406.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0843110406.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0843110406.01.LZZZZZZZ.jpg"
"0843110430";"What-A-Mess on the Beach";"Frank Muir";"1984";"Putnam Publishing Group";"http://images.amazon.com/images/P/0843110430.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0843110430.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0843110430.01.LZZZZZZZ.jpg"
"0881380199";"Humands (A Star &amp; elephant book)";"Mario Mariotti";"1982";"Green Tiger Press";"http://images.amazon.com/images/P/0881380199.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0881380199.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0881380199.01.LZZZZZZZ.jpg"
"1853261580";"The Little Prince (Wordsworth Collection)";"Antoine de Saint-Exupéry";"1998";"NTC/Contemporary Publishing Company";"http://images.amazon.com/images/P/1853261580.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1853261580.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1853261580.01.LZZZZZZZ.jpg"
"0307968219";"Secret of Nimh Storybook";"Seymour Reit";"1986";"Golden Press";"http://images.amazon.com/images/P/0307968219.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0307968219.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0307968219.01.LZZZZZZZ.jpg"
"0789495929";"Sharks (DK Pockets)";"Joyce Pope";"2003";"DK Publishing Inc";"http://images.amazon.com/images/P/0789495929.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0789495929.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0789495929.01.LZZZZZZZ.jpg"
"0920236162";"Paper Bag Princess (Munsch for Kids)";"Robert Munsch";"1980";"Annick Press";"http://images.amazon.com/images/P/0920236162.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0920236162.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0920236162.01.LZZZZZZZ.jpg"
"0140183515";"Just So Stories (Penguin Twentieth-Century Classics)";"Rudyard Kipling";"1990";"Penguin Books";"http://images.amazon.com/images/P/0140183515.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0140183515.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0140183515.01.LZZZZZZZ.jpg"
"0152014209";"I Stay Near You: One Story in Three";"M. E. Kerr";"1997";"Harcourt Paperbacks";"http://images.amazon.com/images/P/0152014209.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0152014209.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0152014209.01.LZZZZZZZ.jpg"
